"year","lat.lon","lo","tempadj","gdd","site"
1966,"49.45 10.3167",106,6.10918019131803,372.6599916704,9
1966,"49.4667 9.58333",115,6.61540968819964,403.539990980178,10
1966,"49.7167 10.2167",107,6.78622935651267,413.959990747273,11
1966,"49.95 11.1667",116,5.67950806977441,346.449992256239,12
1966,"50 8.71667",102,7.61278671508685,464.379989620298,13
1966,"50.3 10.4667",123,6.22868838536813,379.949991507456,14
1966,"50.4167 10.3833",110,6.22868838536813,379.949991507456,15
1966,"50.5167 8.81667",103,6.30622936724151,384.679991401732,16
1966,"52.4 9.45",114,6.37622936567689,388.94999130629,17
1967,"48.4333 10.4167",123,5.61688512035447,342.629992341623,1
1967,"48.5833 12.1833",102,5.66950806999793,345.839992269874,2
1967,"48.7167 9.21667",106,6.2273769099876,379.869991509244,3
1967,"48.8333 12.9667",104,4.73213104176961,288.659993547946,4
1967,"48.8833 12.6",108,6.18934412395246,377.5499915611,5
1967,"49.1667 11.45",109,5.39540971546877,329.119992643595,6
1967,"49.3333 10.8",122,5.80081954247272,353.849992090836,7
1967,"49.4 11.4",119,5.30049168480346,323.329992773011,8
1967,"49.45 10.3167",108,5.63049167742739,343.459992323071,9
1967,"49.4667 9.58333",117,6.30245887552251,384.449991406873,10
1967,"49.7167 10.2167",113,6.54295067342578,399.119991078973,11
1967,"49.95 11.1667",118,5.12622939361656,312.69999301061,12
1967,"50 8.71667",103,7.77770474418754,474.43998939544,13
1967,"50.3 10.4667",132,5.85426216422901,357.109992017969,14
1967,"50.4167 10.3833",110,5.85426216422901,357.109992017969,15
1967,"50.5167 8.81667",103,6.00131134127007,366.079991817474,16
1967,"52.4 9.45",121,6.43278674146191,392.399991229177,17
1968,"48.4333 10.4167",114,6.69836050601768,408.599990867078,1
1968,"48.5833 12.1833",107,6.48622936321819,395.65999115631,2
1968,"48.7167 9.21667",107,7.21852442881733,440.329990157857,3
1968,"48.8333 12.9667",97,5.69704905298889,347.519992232323,4
1968,"48.8833 12.6",113,7.01311459734303,427.799990437925,5
1968,"49.1667 11.45",110,6.24196707359592,380.759991489351,6
1968,"49.3333 10.8",113,6.40180313559707,390.509991271421,7
1968,"49.4 11.4",110,6.03901625846009,368.379991766065,8
1968,"49.45 10.3167",109,6.43442608568757,392.499991226942,9
1968,"49.4667 9.58333",109,6.85163919111622,417.94999065809,10
1968,"49.7167 10.2167",107,7.06180312084492,430.76999037154,11
1968,"49.95 11.1667",115,5.86754085245679,357.919991999865,12
1968,"50 8.71667",107,8.13426211326703,496.189988909289,13
1968,"50.3 10.4667",130,6.36459002167475,388.23999132216,14
1968,"50.4167 10.3833",110,6.36459002167475,388.23999132216,15
1968,"50.5167 8.81667",106,6.68245886702884,407.629990888759,16
1968,"52.4 9.45",109,7.5865572074764,462.779989656061,17
1969,"48.4333 10.4167",124,4.87803267785272,297.559993349016,1
1969,"48.5833 12.1833",117,5.02721300238713,306.659993145615,2
1969,"48.7167 9.21667",118,5.29311463578803,322.87999278307,3
1969,"48.8333 12.9667",116,4.27081957667089,260.519994176924,4
1969,"48.8833 12.6",121,5.36836053574549,327.469992680475,5
1969,"49.1667 11.45",119,4.50409825998129,274.749993858859,6
1969,"49.3333 10.8",127,4.78999989293515,292.189993469044,7
1969,"49.4 11.4",118,4.35016383719249,265.359994068742,8
1969,"49.45 10.3167",110,4.59229497932142,280.129993738607,9
1969,"49.4667 9.58333",118,5.05262283788475,308.20999311097,10
1969,"49.7167 10.2167",120,5.313114635341,324.099992755801,11
1969,"49.95 11.1667",124,4.08999990858138,249.489994423464,12
1969,"50 8.71667",116,6.10918019131803,372.6599916704,13
1969,"50.3 10.4667",129,4.15426220222697,253.409994335845,14
1969,"50.4167 10.3833",121,4.15426220222697,253.409994335845,15
1969,"50.5167 8.81667",110,4.45278678571836,271.61999392882,16
1969,"52.4 9.45",121,4.07114744998637,248.339994449168,17
1970,"48.4333 10.4167",133,3.84081958628214,234.28999476321,1
1970,"48.5833 12.1833",118,4.02573761493578,245.569994511083,2
1970,"48.7167 9.21667",124,4.25311465903384,259.439994201064,3
1970,"48.8333 12.9667",117,3.03557370264144,185.169995861128,4
1970,"48.8833 12.6",115,4.34786875527657,265.219994071871,5
1970,"49.1667 11.45",125,3.62836057463753,221.329995052889,6
1970,"49.3333 10.8",133,3.93032778100278,239.74999464117,7
1970,"49.4 11.4",127,3.50557369213612,213.839995220304,8
1970,"49.45 10.3167",125,3.79409827585103,231.439994826913,9
1970,"49.4667 9.58333",125,4.24803269193431,259.129994207993,10
1970,"49.7167 10.2167",117,4.55049170156727,277.579993795603,11
1970,"49.95 11.1667",126,3.16229501128441,192.899995688349,12
1970,"50 8.71667",107,5.43901627187113,331.779992584139,13
1970,"50.3 10.4667",135,3.53081959321118,215.379995185882,14
1970,"50.4167 10.3833",127,3.53081959321118,215.379995185882,15
1970,"50.5167 8.81667",115,3.93065564984792,239.769994640723,16
1970,"52.4 9.45",127,3.97508187836311,242.47999458015,17
1971,"48.4333 10.4167",125,5.61131134998725,342.289992349222,1
1971,"48.5833 12.1833",101,5.76754085469197,351.81999213621,2
1971,"48.7167 9.21667",108,6.45114739678922,393.519991204143,3
1971,"48.8333 12.9667",107,5.26704906260014,321.289992818609,4
1971,"48.8833 12.6",102,6.42311461053056,391.809991242364,5
1971,"49.1667 11.45",107,5.69786872510173,347.569992231205,6
1971,"49.3333 10.8",114,5.93688511320191,362.149991905317,7
1971,"49.4 11.4",108,5.50278676224903,335.669992497191,8
1971,"49.45 10.3167",109,5.97098347309549,364.229991858825,9
1971,"49.4667 9.58333",106,6.11868838782682,373.239991657436,10
1971,"49.7167 10.2167",108,6.42639329898187,392.009991237894,11
1971,"49.95 11.1667",117,5.15475398314292,314.439992971718,12
1971,"50 8.71667",105,7.10573754609242,433.449990311638,13
1971,"50.3 10.4667",127,5.50114741802338,335.569992499426,14
1971,"50.4167 10.3833",108,5.50114741802338,335.569992499426,15
1971,"50.5167 8.81667",108,5.71032774121668,348.329992214218,16
1971,"52.4 9.45",113,5.57032774434593,339.789992405102,17
1972,"48.4333 10.4167",125,6.32245887507547,385.669991379604,1
1972,"48.5833 12.1833",95,6.55786870587923,400.029991058633,2
1972,"48.7167 9.21667",101,7.03065558055752,428.869990414009,3
1972,"48.8333 12.9667",100,6.15786871481992,375.629991604015,4
1972,"48.8833 12.6",100,7.07459000580502,431.549990354106,5
1972,"49.1667 11.45",107,6.22114740193012,379.489991517737,6
1972,"49.3333 10.8",123,6.52262280502769,397.879991106689,7
1972,"49.4 11.4",101,6.04327855344679,368.639991760254,8
1972,"49.45 10.3167",107,6.4616391998334,394.159991189837,9
1972,"49.4667 9.58333",96,6.83819656846587,417.129990676418,10
1972,"49.7167 10.2167",111,7.16934410204775,437.329990224913,11
1972,"49.95 11.1667",117,5.78131134618746,352.659992117435,12
1972,"50 8.71667",100,7.89147523344785,481.379989240319,13
1972,"50.3 10.4667",138,6.22868838536813,379.949991507456,14
1972,"50.4167 10.3833",108,6.22868838536813,379.949991507456,15
1972,"50.5167 8.81667",108,6.42672116782699,392.029991237447,16
1972,"52.4 9.45",109,6.70147526004642,408.789990862832,17
1973,"48.4333 10.4167",125,3.94704909210444,240.769994618371,1
1973,"48.5833 12.1833",120,4.06147531905502,247.749994462356,2
1973,"48.7167 9.21667",120,4.58754088106703,279.839993745089,3
1973,"48.8333 12.9667",116,3.43409828389766,209.479995317757,4
1973,"48.8833 12.6",110,4.71885235354182,287.849993566051,5
1973,"49.1667 11.45",120,3.8457376189591,234.589994756505,6
1973,"49.3333 10.8",129,4.24491793790557,258.93999421224,7
1973,"49.4 11.4",122,3.70704909746886,226.129994945601,8
1973,"49.45 10.3167",124,4.11786876041747,251.189994385466,9
1973,"49.4667 9.58333",119,4.63426219149813,282.689993681386,10
1973,"49.7167 10.2167",118,5.17311463847024,315.559992946684,11
1973,"49.95 11.1667",124,3.47803270914516,212.159995257854,12
1973,"50 8.71667",112,6.45491788850822,393.749991199002,13
1973,"50.3 10.4667",137,4.29081957622385,261.739994149655,14
1973,"50.4167 10.3833",122,4.29081957622385,261.739994149655,15
1973,"50.5167 8.81667",138,4.89114743165794,298.359993331134,16
1973,"52.4 9.45",124,5.23491791577735,319.329992862418,17
1974,"48.4333 10.4167",112,6.93508181220195,423.039990544319,1
1974,"48.5833 12.1833",88,7.21131131422447,439.889990167692,2
1974,"48.7167 9.21667",91,7.56622933907832,461.539989683777,3
1974,"48.8333 12.9667",90,6.9018031244212,421.009990589693,4
1974,"48.8833 12.6",91,8.09278670435802,493.659988965839,5
1974,"49.1667 11.45",93,6.92983591067987,422.719990551472,6
1974,"49.3333 10.8",94,7.14721295500144,435.979990255088,7
1974,"49.4 11.4",92,6.71278673520342,409.479990847408,8
1974,"49.45 10.3167",95,7.22475393687482,440.709990149364,9
1974,"49.4667 9.58333",91,7.52065556960516,458.759989745915,10
1974,"49.7167 10.2167",90,7.65049163227687,466.679989568889,11
1974,"49.95 11.1667",96,6.40868838134481,390.929991262034,12
1974,"50 8.71667",92,8.82950799936643,538.599987961352,13
1974,"50.3 10.4667",105,7.03754082630526,429.289990404621,14
1974,"50.4167 10.3833",95,7.03754082630526,429.289990404621,15
1974,"50.5167 8.81667",103,7.25098344448526,442.309990113601,16
1974,"52.4 9.45",98,7.03508180996678,429.139990407974,17
1975,"48.4333 10.4167",128,5.20885234258947,317.739992897958,1
1975,"48.5833 12.1833",114,5.29147529156237,322.779992785305,2
1975,"48.7167 9.21667",113,5.66163921771479,345.359992280602,3
1975,"48.8333 12.9667",113,4.80999989248812,293.409993441775,4
1975,"48.8833 12.6",115,5.94999986700714,362.949991887435,5
1975,"49.1667 11.45",117,4.95196710242966,302.069993248209,6
1975,"49.3333 10.8",121,5.49344250016281,335.099992509931,7
1975,"49.4 11.4",118,4.83852448201448,295.149993402883,8
1975,"49.45 10.3167",119,5.29639332423933,323.079992778599,9
1975,"49.4667 9.58333",114,5.7877047886675,353.049992108718,10
1975,"49.7167 10.2167",114,6.1083605192052,372.609991671517,11
1975,"49.95 11.1667",120,4.64491792896488,283.339993666857,12
1975,"50 8.71667",113,7.19327852774228,438.789990192279,13
1975,"50.3 10.4667",127,5.21524578506951,318.12999288924,14
1975,"50.4167 10.3833",117,5.21524578506951,318.12999288924,15
1975,"50.5167 8.81667",105,5.51491790951886,336.409992480651,16
1975,"52.4 9.45",120,5.70770479045564,348.169992217794,17
1976,"48.4333 10.4167",132,4.99786874074794,304.869993185624,1
1976,"48.5833 12.1833",110,4.85704907176436,296.279993377626,2
1976,"48.7167 9.21667",108,5.69885233163712,347.629992229864,3
