"id","provenance.lat","provenance.long","genus","species","year","budburst","leafout","last.obs","yr.end","gdd.start","type","climatetype","id_year_type","gdd_bb","gdd_dvr","fs.count","gdd_lo","utah"
"85758",NA,NA,"Aesculus","flava",2017,101,108,NA,365,46,"Treespotters","weldhill","85758;2017;weldhill",261.100434782609,116.066086956522,0,357.207391304348,1221
"85758",NA,NA,"Aesculus","flava",2018,112,116,192,365,46,"Treespotters","weldhill","85758;2018;weldhill",290.518833992095,59.9982608695652,0,340.795790513834,-830.5
"85758",NA,NA,"Aesculus","flava",2019,107,107,243,365,46,"Treespotters","weldhill","85758;2019;weldhill",266.564565217391,9.93652173913043,0,266.564565217391,583
"85751",35.054271,-83.201019,"Aesculus","flava",2016,105,108,282,366,46,"Treespotters","weldhill","85751;2016;weldhill",340.98337944664,31.0991304347826,0,366.721205533597,2237.5
"85751",35.054271,-83.201019,"Aesculus","flava",2017,108,108,NA,365,46,"Treespotters","weldhill","85751;2017;weldhill",357.207391304348,7.57478260869565,0,357.207391304348,1221
"85751",35.054271,-83.201019,"Aesculus","flava",2018,117,122,199,365,46,"Treespotters","weldhill","85751;2018;weldhill",351.141877470356,80.2830434782609,0,421.078833992095,-695.5
"86276",42.307153,-71.120872,"Fagus","grandifolia",2016,115,118,290,366,46,"Treespotters","weldhill","86276;2016;weldhill",454.007727272727,34.3065217391304,0,479.128162055336,221.5
"86276",42.307153,-71.120872,"Fagus","grandifolia",2017,108,117,278,365,46,"Treespotters","weldhill","86276;2017;weldhill",357.207391304348,95.0126086956522,0,444.645217391304,1221
"86276",42.307153,-71.120872,"Fagus","grandifolia",2019,115,119,272,365,46,"Treespotters","weldhill","86276;2019;weldhill",373.804130434783,44.7852173913044,0,408.32847826087,1020.5
"86277",42.307153,-71.120872,"Fagus","grandifolia",2016,108,115,NA,366,46,"Treespotters","weldhill","86277;2016;weldhill",366.721205533597,97.3573913043478,0,454.007727272727,2429.5
"86273",NA,NA,"Fagus","grandifolia",2016,101,115,282,366,46,"Treespotters","weldhill","86273;2016;weldhill",307.999031620553,149.94,0,454.007727272727,2237.5
"86273",NA,NA,"Fagus","grandifolia",2017,109,113,NA,365,46,"Treespotters","weldhill","86273;2017;weldhill",364.123913043478,40.0739130434783,0,397.281304347826,1221
"86274",42.307153,-71.120872,"Fagus","grandifolia",2016,115,115,290,366,46,"Treespotters","weldhill","86274;2016;weldhill",454.007727272727,9.18608695652174,0,454.007727272727,2045.5
"86274",42.307153,-71.120872,"Fagus","grandifolia",2017,108,117,278,365,46,"Treespotters","weldhill","86274;2017;weldhill",357.207391304348,95.0126086956522,0,444.645217391304,1221
"86274",42.307153,-71.120872,"Fagus","grandifolia",2019,107,115,272,365,46,"Treespotters","weldhill","86274;2019;weldhill",266.564565217391,117.176086956522,0,373.804130434783,1020.5
"86275",42.307153,-71.120872,"Fagus","grandifolia",2016,101,115,281,366,46,"Treespotters","weldhill","86275;2016;weldhill",307.999031620553,149.94,0,454.007727272727,2261.5
"86275",42.307153,-71.120872,"Fagus","grandifolia",2017,103,112,293,365,46,"Treespotters","weldhill","86275;2017;weldhill",285.03,111.752608695652,0,386.706956521739,1221
"86275",42.307153,-71.120872,"Fagus","grandifolia",2018,121,122,NA,365,46,"Treespotters","weldhill","86275;2018;weldhill",397.107964426877,36.764347826087,0,421.078833992095,586.5
"86266",42.307153,-71.120872,"Carya","glabra",2016,118,122,285,366,46,"Treespotters","weldhill","86266;2016;weldhill",479.128162055336,44.2286956521739,0,514.625553359684,2165.5
"86266",42.307153,-71.120872,"Carya","glabra",2017,100,117,253,365,46,"Treespotters","weldhill","86266;2017;weldhill",241.141304347826,220.163043478261,0,444.645217391304,1221
"86266",42.307153,-71.120872,"Carya","glabra",2018,118,122,288,365,46,"Treespotters","weldhill","86266;2018;weldhill",366.747529644269,69.9369565217391,0,421.078833992095,698.5
"86266",42.307153,-71.120872,"Carya","glabra",2019,108,111,264,365,46,"Treespotters","weldhill","86266;2019;weldhill",275.205,63.2673913043478,0,329.831956521739,962
"86263",42.307153,-71.120872,"Carya","glabra",2016,118,118,NA,366,46,"Treespotters","weldhill","86263;2016;weldhill",479.128162055336,8.73130434782609,0,479.128162055336,2429.5
"86263",42.307153,-71.120872,"Carya","glabra",2017,110,118,253,365,46,"Treespotters","weldhill","86263;2017;weldhill",373.486086956522,100.389130434783,0,464.513043478261,1221
"86263",42.307153,-71.120872,"Carya","glabra",2018,118,122,258,365,46,"Treespotters","weldhill","86263;2018;weldhill",366.747529644269,69.9369565217391,0,421.078833992095,330
"86263",42.307153,-71.120872,"Carya","glabra",2019,108,111,264,365,46,"Treespotters","weldhill","86263;2019;weldhill",275.205,63.2673913043478,0,329.831956521739,962
"86264",43.13047,-77.604658,"Carya","glabra",2016,110,118,NA,366,46,"Treespotters","weldhill","86264;2016;weldhill",386.78337944664,101.519565217391,0,479.128162055336,2429.5
"86264",43.13047,-77.604658,"Carya","glabra",2017,100,114,253,365,46,"Treespotters","weldhill","86264;2017;weldhill",241.141304347826,186.499130434783,0,410.981304347826,1221
"86264",43.13047,-77.604658,"Carya","glabra",2018,119,122,256,365,46,"Treespotters","weldhill","86264;2018;weldhill",377.862747035573,54.3313043478261,0,421.078833992095,289
"86264",43.13047,-77.604658,"Carya","glabra",2019,108,111,264,365,46,"Treespotters","weldhill","86264;2019;weldhill",275.205,63.2673913043478,0,329.831956521739,962
"86262",42.307153,-71.120872,"Carya","glabra",2017,118,120,251,365,46,"Treespotters","weldhill","86262;2017;weldhill",464.513043478261,52.0713043478261,0,496.71652173913,1221
"86262",42.307153,-71.120872,"Carya","glabra",2018,123,126,256,365,46,"Treespotters","weldhill","86262;2018;weldhill",444.858833992095,82.0482608695652,0,503.12709486166,289
"86262",42.307153,-71.120872,"Carya","glabra",2019,111,124,264,365,46,"Treespotters","weldhill","86262;2019;weldhill",329.831956521739,139.524782608696,0,453.155,962
"86265",42.307153,-71.120872,"Carya","glabra",2016,122,122,285,366,46,"Treespotters","weldhill","86265;2016;weldhill",514.625553359684,8.27260869565217,0,514.625553359684,2165.5
"86265",42.307153,-71.120872,"Carya","glabra",2017,100,118,253,365,46,"Treespotters","weldhill","86265;2017;weldhill",241.141304347826,240.030869565217,0,464.513043478261,1221
"86265",42.307153,-71.120872,"Carya","glabra",2019,108,115,264,365,46,"Treespotters","weldhill","86265;2019;weldhill",275.205,107.239565217391,0,373.804130434783,962
"86270",42.307153,-71.120872,"Carya","ovata",2016,110,127,289,366,46,"Treespotters","weldhill","86270;2016;weldhill",386.78337944664,177.430869565217,0,555.039466403162,2069.5
"86270",42.307153,-71.120872,"Carya","ovata",2017,105,117,253,365,46,"Treespotters","weldhill","86270;2017;weldhill",308.199130434783,149.497826086957,0,444.645217391304,1221
"86270",42.307153,-71.120872,"Carya","ovata",2018,122,125,279,365,46,"Treespotters","weldhill","86270;2018;weldhill",421.078833992095,90.5269565217391,0,487.634920948617,603
"86270",42.307153,-71.120872,"Carya","ovata",2019,108,119,264,365,46,"Treespotters","weldhill","86270;2019;weldhill",275.205,141.763913043478,0,408.32847826087,962
"86271",42.307153,-71.120872,"Carya","ovata",2016,130,132,284,366,46,"Treespotters","weldhill","86271;2016;weldhill",588.275118577075,43.3834782608696,0,618.859031620553,2189.5
"86271",42.307153,-71.120872,"Carya","ovata",2017,105,118,264,365,46,"Treespotters","weldhill","86271;2017;weldhill",308.199130434783,169.365652173913,0,464.513043478261,1221
"86271",42.307153,-71.120872,"Carya","ovata",2018,118,125,279,365,46,"Treespotters","weldhill","86271;2018;weldhill",366.747529644269,136.493043478261,0,487.634920948617,603
"86271",42.307153,-71.120872,"Carya","ovata",2019,108,124,264,365,46,"Treespotters","weldhill","86271;2019;weldhill",275.205,186.590434782609,0,453.155,962
"86272",42.307153,-71.120872,"Carya","ovata",2016,125,132,295,366,46,"Treespotters","weldhill","86272;2016;weldhill",538.959466403162,87.4586956521739,0,618.859031620553,1925.5
"86272",42.307153,-71.120872,"Carya","ovata",2017,112,118,293,365,46,"Treespotters","weldhill","86272;2017;weldhill",386.706956521739,84.1808695652174,0,464.513043478261,1221
"86272",42.307153,-71.120872,"Carya","ovata",2018,118,125,282,365,46,"Treespotters","weldhill","86272;2018;weldhill",366.747529644269,136.493043478261,0,487.634920948617,654.5
"86272",42.307153,-71.120872,"Carya","ovata",2019,108,124,264,365,46,"Treespotters","weldhill","86272;2019;weldhill",275.205,186.590434782609,0,453.155,962
"86268",42.307153,-71.120872,"Carya","ovata",2016,130,131,295,366,46,"Treespotters","weldhill","86268;2016;weldhill",588.275118577075,26.5534782608696,0,602.029031620553,1925.5
"86268",42.307153,-71.120872,"Carya","ovata",2017,105,118,264,365,46,"Treespotters","weldhill","86268;2017;weldhill",308.199130434783,169.365652173913,0,464.513043478261,1221
"86268",42.307153,-71.120872,"Carya","ovata",2018,118,125,279,365,46,"Treespotters","weldhill","86268;2018;weldhill",366.747529644269,136.493043478261,0,487.634920948617,603
"86268",42.307153,-71.120872,"Carya","ovata",2019,110,121,264,365,46,"Treespotters","weldhill","86268;2019;weldhill",313.630217391304,130.47,0,425.505,962
"86269",42.307153,-71.120872,"Carya","ovata",2016,130,132,295,366,46,"Treespotters","weldhill","86269;2016;weldhill",588.275118577075,43.3834782608696,0,618.859031620553,1925.5
"86269",42.307153,-71.120872,"Carya","ovata",2017,105,118,264,365,46,"Treespotters","weldhill","86269;2017;weldhill",308.199130434783,169.365652173913,0,464.513043478261,1221
"86269",42.307153,-71.120872,"Carya","ovata",2018,118,125,279,365,46,"Treespotters","weldhill","86269;2018;weldhill",366.747529644269,136.493043478261,0,487.634920948617,603
"86269",42.307153,-71.120872,"Carya","ovata",2019,108,124,264,365,46,"Treespotters","weldhill","86269;2019;weldhill",275.205,186.590434782609,0,453.155,962
"87758",NA,NA,"Quercus","alba",2016,115,282,282,366,46,"Treespotters","weldhill","87758;2016;weldhill",454.007727272727,3289.54391304348,0,3734.36555335968,2237.5
"87758",NA,NA,"Quercus","alba",2017,118,119,278,365,46,"Treespotters","weldhill","87758;2017;weldhill",464.513043478261,42.104347826087,0,486.749565217391,1221
"87758",NA,NA,"Quercus","alba",2019,117,127,286,365,46,"Treespotters","weldhill","87758;2019;weldhill",390.274130434783,106.250869565217,0,487.870652173913,1087
"87759",42.307153,-71.120872,"Quercus","alba",2017,110,124,288,365,46,"Treespotters","weldhill","87759;2017;weldhill",373.486086956522,176.175217391304,0,540.299130434783,1221
